id,abnormal,duration,"uid",round_1_kurt,round_2_kurt,round_3_kurt,round_4_kurt,round_5_kurt,round_6_kurt,round_7_kurt,round_8_kurt,round_9_kurt,round_10_kurt,lang,"startdate","enddate",age,"trainedhearing","gender","useragent","order_list_s",1_order,2_order,3_order,4_order,5_order,6_order,7_order,8_order,1_cnt,2_cnt,3_cnt,4_cnt,5_cnt,6_cnt,7_cnt,8_cnt,9_cnt,10_cnt,1_time,2_time,3_time,4_time,5_time,6_time,7_time,8_time,9_time,10_time,round,"comment"
78,NULL,276,"9fd23a0f-4004-464d-b23e-e7445d4b0faa",5.75,NULL,2,NULL,1.625,NULL,NULL,2.6675,NULL,NULL,1,"2021-04-19T19:14:24.684","2021-04-19T23:50:39.873",24,"yes","male","Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36","1,5,3,8",1,NULL,3,NULL,2,NULL,NULL,4,32,NULL,25,NULL,33,NULL,NULL,32,NULL,NULL,9.64,NULL,7.17,NULL,9.39,NULL,NULL,9.23,NULL,NULL,8,NULL
85,NULL,3409,"9b8e0f69-b797-404e-8ea6-83a48475b0ea",4.5,NULL,NULL,3.25,NULL,4.75,2,NULL,NULL,NULL,0,"2021-04-23T15:53:28.218",NULL,20,"no","other","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36","7,4,6,1",4,NULL,NULL,2,NULL,3,1,NULL,43,NULL,NULL,35,NULL,28,45,NULL,NULL,NULL,17.11,NULL,NULL,18.8,NULL,9.71,91.42,NULL,NULL,NULL,1,NULL
86,NULL,86,"d6803c56-8d3f-460f-b719-5250b0eae7eb",5.5,2.75,3.5,NULL,NULL,6.75,NULL,NULL,NULL,NULL,1,"2021-04-24T16:03:58.580","2021-04-24T17:29:43.912",22,"yes","male","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36","6,3,1,2",3,4,2,NULL,NULL,1,NULL,NULL,33,27,38,NULL,NULL,30,NULL,NULL,NULL,NULL,7.97,5.82,8.75,NULL,NULL,7.52,NULL,NULL,NULL,NULL,2,NULL
88,NULL,76,"fc7f7ded-a512-46f2-b436-28950c3cfe8f",NULL,2.75,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,1,"2021-04-24T19:04:22.130","2021-04-24T20:20:44.916",52,"no","female","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15","5,2",NULL,2,NULL,NULL,1,NULL,NULL,NULL,NULL,25,38,NULL,40,58,NULL,NULL,NULL,NULL,NULL,8.51,12.6,NULL,33.33,17.36,NULL,NULL,NULL,NULL,2,NULL
89,NULL,61,"2b44c9d1-3045-4995-99d3-51cb72372744",2.75,NULL,NULL,1.875,6.125,4.75,NULL,NULL,NULL,NULL,1,"2021-04-24T20:10:27.767","2021-04-24T21:11:30.983",25,"yes","male","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:88.0) Gecko/20100101 Firefox/88.0","5,1,6,4",2,NULL,NULL,4,1,3,NULL,NULL,23,NULL,NULL,36,31,34,NULL,NULL,NULL,NULL,9.36,NULL,NULL,14.34,13.77,15.23,NULL,NULL,NULL,NULL,4,NULL
90,NULL,NULL,"2d399f52-1093-4006-9c44-bec4015e3c68",NULL,NULL,NULL,8,NULL,9.75,NULL,NULL,NULL,NULL,1,"2021-04-24T20:36:53.864",NULL,24,"yes","male","Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1","6,4",NULL,NULL,NULL,2,NULL,1,NULL,NULL,NULL,NULL,NULL,23,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9.36,NULL,14.01,NULL,NULL,NULL,NULL,4,NULL
91,NULL,10731,"148a6010-1067-4ade-9c24-1cbceedf0ec1",9.5,NULL,NULL,5,2.125,9.75,NULL,NULL,NULL,NULL,1,"2021-04-25T11:06:13.558","2021-05-02T21:57:15.709",23,"yes","male","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36 OPR/75.0.3969.218","5,1,6,4",2,NULL,NULL,4,1,3,NULL,NULL,41,NULL,NULL,39,34,34,NULL,NULL,NULL,NULL,11.83,NULL,NULL,13.05,15.84,8.61,NULL,NULL,NULL,NULL,4,NULL
93,NULL,125,"04b3f9cc-d266-4dc7-959b-b25e73e9360c",3.75,NULL,NULL,1.75,1.5,2.5,NULL,NULL,NULL,NULL,1,"2021-04-25T13:11:02.615",NULL,27,"yes","male","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36","4,1,5,6",2,NULL,NULL,1,3,4,NULL,NULL,38,NULL,NULL,34,32,26,NULL,NULL,NULL,NULL,16.28,NULL,NULL,12.36,11.2,12.75,NULL,NULL,NULL,NULL,6,NULL
94,NULL,366,"75474a95-7c60-4a7c-9958-b54653463f28",NULL,4.25,NULL,2.875,3.25,NULL,4.5,NULL,NULL,NULL,1,"2021-04-25T18:03:38.108","2021-04-26T00:09:37.637",28,"yes","female","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0","2,7,4,5",NULL,1,NULL,3,4,NULL,2,NULL,NULL,24,NULL,37,32,NULL,28,NULL,NULL,NULL,NULL,8.74,NULL,10.45,8.98,NULL,7.99,NULL,NULL,NULL,5,NULL
97,NULL,1299,"db2cbe6f-cbad-4404-b2b0-d6421e61ebdc",10.5,NULL,NULL,13.75,NULL,9.75,9.75,NULL,NULL,NULL,1,"2021-04-26T17:40:14.506","2021-04-27T15:19:24.123",24,"no","female","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15","4,1,6,7",2,NULL,NULL,1,NULL,3,4,NULL,39,NULL,NULL,29,NULL,39,42,NULL,NULL,NULL,12.46,NULL,NULL,16.23,NULL,13.17,13.11,NULL,NULL,NULL,7,NULL
98,NULL,209,"34b45e9c-aea3-4bed-bc9c-51c9227e6891",NULL,0.75,0.9375,NULL,0.9375,NULL,1.375,NULL,NULL,NULL,1,"2021-04-27T18:36:09.387",NULL,21,"yes","female","Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Mobile/15E148 Safari/604.1","2,7,5,3",NULL,1,4,NULL,3,NULL,2,NULL,NULL,34,33,NULL,40,NULL,31,NULL,NULL,NULL,NULL,9.74,7.56,NULL,10.7,NULL,8.49,NULL,NULL,NULL,3,NULL
99,NULL,1514,"af081639-31c8-46f3-aac9-69dfc99e0f77",NULL,NULL,1.625,3.5,2.5,6.25,NULL,NULL,NULL,NULL,1,"2021-04-28T11:44:22.592","2021-04-29T12:58:48.172",23,"no","female","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0","5,6,3,4",NULL,NULL,3,4,1,2,NULL,NULL,NULL,NULL,38,35,31,30,NULL,NULL,NULL,NULL,NULL,NULL,14.68,16.44,8.72,8.76,NULL,NULL,NULL,NULL,4,NULL
102,NULL,79,"72480a02-b4b9-4aa5-aac5-db3b2a9cdbe6",NULL,NULL,NULL,NULL,4.25,6.75,2.5,4.6675,NULL,NULL,1,"2021-05-03T12:20:45.876","2021-05-03T13:40:05.395",54,"no","female","Mozilla/5.0 (Linux; Android 8.1.0; SAMSUNG SM-J530F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.0 Chrome/87.0.4280.141 Mobile Safari/537.36","5,6,7,8",NULL,NULL,NULL,NULL,1,2,3,4,NULL,NULL,NULL,NULL,32,28,28,39,NULL,NULL,NULL,NULL,NULL,NULL,12.33,15.04,14.69,25.66,NULL,NULL,8,NULL
103,NULL,47,"03f9d443-9158-4d48-a3d5-67fd64ae6ecb",NULL,NULL,1.375,1.625,1.625,NULL,NULL,5.6675,NULL,NULL,1,"2021-05-04T14:19:06.772","2021-05-04T15:05:43.615",27,"yes","male","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36","3,5,4,8",NULL,NULL,1,3,2,NULL,NULL,4,NULL,NULL,37,29,27,NULL,NULL,30,NULL,NULL,NULL,NULL,15.28,7.25,6.43,NULL,NULL,7.28,NULL,NULL,8,NULL
106,NULL,43,"da1ff93a-d85c-4ad4-8d9f-0a1288a7f6e9",3.5,NULL,1.625,NULL,2.5,NULL,NULL,NULL,NULL,NULL,1,"2021-05-07T12:02:40.146","2021-05-07T12:45:26.584",35,"yes","male","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36","3,5,1",3,NULL,1,NULL,2,NULL,NULL,NULL,30,NULL,37,NULL,30,NULL,NULL,40,NULL,NULL,8.14,NULL,9.87,NULL,7.92,NULL,NULL,10.16,NULL,NULL,8,NULL
108,NULL,102,"86492480-e495-407c-9f0b-ab06f6d87ec9",1.75,2.125,1.0625,NULL,0.9375,NULL,NULL,NULL,NULL,NULL,1,"2021-05-07T17:35:47.106","2021-05-07T19:17:41.168",32,"yes","male","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36","2,1,5,3",2,1,4,NULL,3,NULL,NULL,NULL,44,33,31,NULL,30,NULL,NULL,NULL,NULL,NULL,11.85,9.78,7.55,NULL,8.56,NULL,NULL,NULL,NULL,NULL,3,NULL
109,NULL,63,"d09abc59-9283-4c20-92aa-35f4caae7af5",NULL,1.125,2.125,NULL,NULL,4.75,NULL,5,NULL,NULL,1,"2021-05-07T18:51:49.687","2021-05-07T19:54:27.129",26,"no","male","Mozilla/5.0 (Linux; Android 8.0.0; SM-A520F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.91 Mobile Safari/537.36","6,2,3,8",NULL,2,3,NULL,NULL,1,NULL,4,NULL,41,36,NULL,NULL,31,NULL,32,NULL,NULL,NULL,14.37,11.82,NULL,NULL,15.4,NULL,9.09,NULL,NULL,8,NULL
112,NULL,84,"7dfc42ac-7afc-4066-a42a-d0519539f62e",NULL,NULL,2.25,1.38,NULL,NULL,0.75,5.34,NULL,NULL,1,"2021-05-12T17:17:01.642","2021-05-12T18:41:11.738",22,"yes","female","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36","7,3,4,8",NULL,NULL,2,3,NULL,NULL,1,4,NULL,NULL,34,27,NULL,NULL,35,24,NULL,NULL,NULL,NULL,12.34,10.24,NULL,NULL,22.27,8.69,NULL,NULL,8,NULL
